date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:09	4528/4528	---M--	200	added ('OK')	application/octet-stream	etag:%225a94e2d5-11b0%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoon.ttf	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoon.ttf	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:10	12799/12799	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225a94e2d5-31ff%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoon.svg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoon.svg	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:10	1948/1948	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22584a66d2-79c%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoon.eot	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoon.eot	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:10	1860/1860	---M--	200	added ('OK')	application/font-woff	etag:%22584a66d2-744%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoon.woff	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoon.woff	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:10	4692/4692	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225a94e2d5-1254%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoon.eot?	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_text_list/icomoond41d.eot	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:10	1784/1784	---M--	200	added ('OK')	application/octet-stream	etag:%22584a66d2-6f8%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoon.ttf	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoon.ttf	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:11	2076/2076	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22584a66d2-81c%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoon.svg	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoon.svg	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:11	1948/1948	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22584a66d2-79c%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoon.eot?	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/skin/voice_guide/icomoond41d.eot	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/pc_skin_905_732.css)
22:14:11	1632/1632	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225806caa8-660%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_slider/icomoon.eot	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_slider/icomoon.eot	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/page_inc/pc_33655.css)
22:14:11	1544/1544	---M--	200	added ('OK')	application/font-woff	etag:%225806caa8-608%22	http://www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_slider/icomoon.woff	C:/Users/ys958/Desktop/joinoffice/www.joinoffice.kr/img_up/shop_pds/aramskin/design/contents/icomoon_slider/icomoon.woff	(from http://www.joinoffice.kr/img_up/shop_pds/joinoffice/build/page_inc/pc_33655.css)
